time_s,ego_speed_mps,ego_x,ego_y,ego_yaw,throttle,brake,steer,action,decision_reason
19.638110399246216,1.8674289941897206,389.554443359375,-205.99087524414062,85.03275299072266,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.662495374679565,2.0093690149240033,389.5752258300781,-205.89585876464844,84.51577758789062,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.69194793701172,2.0448885835489503,389.59765625,-205.79730224609375,83.97942352294922,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.7155020236969,2.18109549364862,389.62213134765625,-205.6942596435547,83.41893005371094,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.74504327774048,2.217883104914989,389.6484680175781,-205.5877685546875,82.8393325805664,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.774366855621338,2.3475823633005466,389.6770324707031,-205.47706604003906,82.23686981201172,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.80185317993164,2.3792233226763804,389.7076110839844,-205.36325073242188,81.61354064941406,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.833065032958984,2.473483072201252,389.7402648925781,-205.24647521972656,80.97010803222656,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.86363410949707,2.5145790803093804,389.7749938964844,-205.12709045410156,80.30377197265625,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.89051389694214,2.615394052353926,389.812255859375,-205.00442504882812,79.62471008300781,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.917991638183594,2.6628478796076642,389.8518981933594,-204.87892150878906,78.92344665527344,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.943406343460083,2.7630274460184507,389.8944396972656,-204.75015258789062,78.20924377441406,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
19.972068786621094,2.812744912865513,389.9396667480469,-204.61862182617188,77.47277069091797,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
20.005064010620117,2.9097687419223686,389.9879150390625,-204.48402404785156,76.72356414794922,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
20.029080867767334,2.9603713259750917,390.0389709472656,-204.34683227539062,75.95248413085938,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
20.056070804595947,3.0532969095832527,390.09332275390625,-204.206787109375,75.1692123413086,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
20.081976652145386,3.1043343818440494,390.15069580078125,-204.0643768310547,74.36441802978516,0.3499999940395355,0.0,-0.25,LANE_CHANGE,Steering around obstacle
